,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE  ,,,,,,,,,,,,,,,,,,,,
MINISTERE DE LA SANTE DE LA POPULATION ET DE LA REFORME HOSPITALIERE,,,,,,,,,,,,,,,,,,,,
DIRECTION GENERALE DE LA PHARMACIE ET DES EQUIPEMENTS DE SANTE,,,,,,,,,,,,,,,,,,,,
DIRECTION DES PRODUITS PHARMACEUTIQUES - SOUS DIRECTION DE L'ENREGISTREMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOMENCLATURE NATIONALE DES PRODUITS PHARMACEUTIQUES A USAGE DE LA MEDECINE HUMAINE AU 31 DECEMBRE 2019  ( 3412 DE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL ,DATE D'ENREGISTREMENT  FINAL ,TYPE,STATUT,DUREE DE STABILITE,,
1781,168/ 08 C 064 /00/15,08 C 064,IOXITALAMATE DE MEGLUMINE  / IOXITALAMATE DE SODIUM,TELEBRIX 35,SOL. INJ.,"650,9MG/96,6MG/ML (I=350MG/ML)",FL./50ML - FL./100ML,Liste I,HOP,OFF,,GUERBET,FRANCE,6/20/2000,4/29/2015,Ré,I,36 MOIS,,
1782,152/ 20 A 046 /99/16,20 A 046,IPRATROPIUM BROMURE,ATROVENT ENF.,SOL.INHAL.PAR NEBULISEUR,"0,25MG/2ML",B/10 RECIPIENTS UNIDOSES DE  2ML,Liste I,HOP,,,BOEHRINGER INGELHEIM ,FRANCE,6/6/1999,4/16/2017,Ré,I,,,
1783,152/ 20 A 047 /99/16,20 A 047,IPRATROPIUM BROMURE,ATROVENT ADUL .,SOL.INHAL.PAR NEBULISEUR,"0,50MG/2ML",B/10 RECIPIENTS UNIDOSES DE  2ML,Liste I,HOP,,,BOEHRINGER INGELHEIM France,FRANCE,6/6/1999,6/26/2016,Ré,I,24 MOIS ,,
1784,035 / 06 E 156 /18,06 E 156,Irbesartan,IRBISART,COMPRIME PELLICULE ,150MG,B/30,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,2/11/2018,2/11/2018,Gé,F,,,
1785,055/ 06 E 156 /19,06 E 156,Irbesartan,GIZLAN,COMPRIME PELLICULE ,150MG,B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,3/6/2019,3/6/2019,Gé,F,24 MOIS,,
1786,055/ 06 E 157 /19,06 E 157,Irbesartan,GIZLAN 300,COMPRIME PELLICULE ,300MG,B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,3/6/2019,3/6/2019,Gé,F,24 MOIS,,
1787,097/ 06 E 156 /16,06 E 156 ,Irbesartan,CARDIOTENS ,COMPRIME PELLICULE ,150MG,B/30 ,Liste I,HOP,OFF,,SANAMED SARL,ALGERIE,9/27/2016,9/27/2016,Gé,Fprémix,24MOIS ,,
1788,097/ 06 E 157 /16,06 E 157 ,Irbesartan,CARDIOTENS 300,COMPRIME PELLICULE ,300MG,B/30,Liste I,HOP,OFF,,SANAMED SARL,ALGERIE,9/5/2016,9/5/2016,Gé,Fprémix,24MOIS ,,
1789,263/ 06 E 156 /10/16,06 E 156,Irbesartan,IRBEVEL,COMPRIME PELLICULE ,150MG,B/30,Liste I,HOP,OFF,,BIOPHARM,ALGERIE,3/28/2010,3/13/2016,Gé,F,36 MOIS,,
1790,263/ 06 E 157 /10/16,06 E 157,Irbesartan,IRBEVEL,COMPRIME PELLICULE ,300MG,B/30,Liste I,HOP,OFF,,BIOPHARM,ALGERIE,3/28/2010,4/11/2016,Gé,F,24 MOIS ,,
1791,268/ 06 E 156 /13/18,06 E 156,Irbesartan,ARADEX 150,COMPRIME SECABLE ,150MG,B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,5/12/2013,9/3/2018,Gé,F,36 MOIS,,
1792,268/ 06 E 157 /13/18,06 E 157,Irbesartan,ARADEX 300,COMPRIME,300MG,B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,5/12/2013,7/18/2018,Gé,F,36 MOIS,,
1793,352/ 06 E 156 /10/16,06 E 156,Irbesartan,APROSART,COMPRIME,150MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,9/22/2010,4/12/2016,Gé,F,36MOIS,,
1794,352/ 06 E 157 /10/16,06 E 157,Irbesartan,APROSART,COMPRIME,300MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,10/6/2010,4/12/2016,Gé,F,36MOIS,,
1795,418/ 06 E 156 /14,06 E 156,Irbesartan,IROVEL,COMPRIME PELLICULE ,150MG ,B/30,LISTE I,HOP,OFF,,NEOMEDIC,ALGERIE,6/8/2014,6/8/2014,Gé,F,,,
1796,418/ 06 E 157 /14,06 E 157,Irbesartan,IROVEL,COMPRIME PELLICULE ,300MG ,B/30,Liste I,HOP,OFF,,NEOMEDIC,ALGERIE,4/15/2014,4/15/2014,Gé,F,24 MOIS,,
1797,426/ 06 E 156 /13,06 E 156,Irbesartan,ARAVEL,COMPRIME PELLICULE ,150MG,B/30,Liste I,HOP,OFF,,REMEDE PHARMA SARL,ALGERIE,3/10/2013,3/10/2013,Gé,F,,,
1798,426/ 06 E 157 /13,06 E 157 ,Irbesartan,ARAVEL,COMPRIME PELLICULE ,300MG,B/30,Liste I,HOP,OFF,,REMEDE PHARMA SARL,ALGERIE,3/10/2013,3/10/2013,Gé,F,,,
1799,468/ 06 E 156 /13,06 E 156,Irbesartan,IRBAC,COMPRIME PELLICULE ,150MG,B/30,Liste I,HOP,OFF,,BAC PHARMA SPA,ALGERIE,7/21/2013,7/21/2013,Gé,F,,,
1800,470/ 06 E 156 /12/18,06 E 156,Irbesartan,ZIBRAT,COMPRIME PELLICULE ,150MG,B/30 ,Liste I,HOP,OFF,,MM LABORATOIRES SARL,ALGERIE,12/5/2012,4/2/2018,Gé,F,36 MOIS,,
1801,470/ 06 E 157 /12/18,06 E 157,Irbesartan,ZIBRAT,COMPRIME PELLICULE ,300MG,B/30 ,Liste I,HOP,OFF,,MM LABORATOIRES SARL,ALGERIE,12/5/2012,4/2/2018,Gé,F,36 MOIS,,
1802,479/ 06 E 157 /13,06 E 157,Irbesartan,IRBAC,COMPRIME PELLICULE ,300MG,B/30,Liste I,HOP,OFF,,BAC PHARMA SPA,ALGERIE,7/7/2013,7/7/2013,Gé,F,,,
1803,518/06 E 156/17,06 E 156,Irbesartan,IRBE 150,COMPRIME,150MG,B/30,Liste I,HOP,OFF,,TAPHCO SPA,ALGERIE,5/28/2017,5/28/2017,Gé,F,24 MOIS,,
1804,035 / 06 E 219 /18,06 E 219,Irbesartan / Hydrochlorothiazide,IRBISART +,COMPRIME PELLICULE ,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,7/16/2018,7/16/2018,Gé,F,24MOIS,,
1805,035/ 06 E  220 /18,06 E 220,Irbesartan / Hydrochlorothiazide,IRBISART +,COMPRIME PELLICULE ,"300MG/12,5MG",B/30,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,3/19/2018,3/19/2018,Gé,F,24 MOIS,,
1806,035/ 06 E 256 /18,06 E 256,IRBESARTAN / HYDROCHLOROTHIAZIDE,IRBISART +,COMPRIME PELLICULE ,300MG/25MG,B/30,Liste I,HOP,OFF,,PHARMALIANCE EURL,ALGERIE,7/16/2018,7/16/2018,Gé,F,24 MOIS,,
1807,055/ 06 E  220 /19,06 E 220,Irbesartan / Hydrochlorothiazide,"GIZLAN-PLUS 300/12,5",COMPRIME PELLICULE ,"300MG/12,5MG",B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,3/6/2019,3/6/2019,Gé,F,24 MOIS,,
1808,055/ 06 E 219 /19,06 E 219,Irbesartan / Hydrochlorothiazide,"GIZLAN-PLUS 150/12,5",COMPRIME PELLICULE ,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,3/6/2019,3/6/2019,Gé,F,24MOIS,,
1809,055/ 06 E 256 /19,06 E 256,IRBESARTAN / HYDROCHLOROTHIAZIDE,GIZLAN-PLUS 300/25,COMPRIME PELLICULE ,300MG/25MG,B/30,Liste I,HOP,OFF,,DAR AL DAWA DEVELOPMENT & INVESTMENT Co Ltd ,JORDANIE,3/6/2019,3/6/2019,Gé,F,24 MOIS,,
1810,268/ 06 E 219 /15,06 E 219,Irbesartan / Hydrochlorothiazide,"CO-ARADEX 150/12,5",COMPRIME,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,5/31/2015,5/31/2015,Gé,F,36 MOIS,,
1811,268/ 06 E 220 /15,06 E 220,Irbesartan / Hydrochlorothiazide,"CO-ARADEX 300/12,5",COMPRIME,"300MG/12,5MG",B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,8/9/2015,8/9/2015,Gé,F,24 MOIS,,
1812,268/ 06 E 256 /15,06 E 256,IRBESARTAN / HYDROCHLOROTHIAZIDE,CO-ARADEX 300/25,COMPRIME,300MG/25MG,B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,6/24/2015,6/24/2015,Gé,F,24 MOIS,,
1813,352/ 06 E 219 /10/16,06 E 219,Irbesartan / Hydrochlorothiazide,CO APROSART,COMP. ENRO.,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,3/28/2010,7/19/2016,Gé,F,36MOIS ,,
1814,352/ 06 E 220 /10/16,06 E 220,Irbesartan / Hydrochlorothiazide,CO APROSART,COMPRIME PELLICULE ,"300MG/12,5MG",B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,3/28/2010,2/15/2016,Gé,F,36 MOIS ,,
1815,392/ 06 E 219 /06/14,06 E 219,Irbesartan / Hydrochlorothiazide,COAPROVEL,COMPRIME PELLICULE ,"150MG/12,5MG",B/28,Liste I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,7/23/2006,7/27/2014,Ré,Fprémix,,,
1816,392/ 06 E 220 /06/14,06 E 220,Irbesartan / Hydrochlorothiazide,COAPROVEL,COMPRIME PELLICULE ,"300MG/12,5MG",B/28,Liste I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA ,ALGERIE,7/23/2006,7/27/2014,Ré,Fprémix,,,
1817,426/ 06 E 219 /13,06 E 219 ,Irbesartan / Hydrochlorothiazide,COARAVEL,COMPRIME PELLICULE ,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,REMEDE PHARMA SARL,ALGERIE,6/25/2013,6/25/2013,Gé,F,,,
1818,447/ 06 E 220 /10/17,06 E 220,Irbesartan / Hydrochlorothiazide,CO-IRBEK,COMPRIME PELLICULE ,"300MG/12,5MG",B/30 ET B/90,Liste I,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,12/22/2010,3/23/2017,Gé,F,36 MOIS,,
1819,470/ 06 E 219 /12,06 E 219,Irbesartan / Hydrochlorothiazide,COZIBRAT,COMPRIME PELLICULE ,"150MG/12,5MG",B/30 ,Liste I,HOP,OFF,,MM (SARL LABORATOIRES MM),ALGERIE,12/16/2012,12/16/2012,Gé,F,36 MOIS ,,
1820,470/ 06 E 220 /12,06 E 220,Irbesartan / Hydrochlorothiazide,COZIBRAT,COMPRIME PELLICULE ,"300MG/12,5MG",B/30 ,Liste I,HOP,OFF,,MM (SARL LABORATOIRES MM),ALGERIE,12/16/2012,12/16/2012,Gé,F,,,
1821,510/ 06 E  220 /16,06 E 220,Irbesartan / Hydrochlorothiazide,CO AVASART,COMPRIME PELLICULE ,"300MG/12,5MG",B/30,Liste I,HOP,OFF,,ALEMBIC MAMI SPA,ALGERIE,4/27/2016,4/27/2016,Gé,F,24 MOIS,,
1822,510/ 06 E 219 /16,06 E 219,Irbesartan / Hydrochlorothiazide,CO AVSART ,COMPRIME PELLICULE ,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,ALEMBIC MAMI SPA,ALGERIE,9/5/2016,9/5/2016,Gé,F,24MOIS,,
1823,510/ 06 E 256 /16,06 E 256,IRBESARTAN / HYDROCHLOROTHIAZIDE,CO  AVASART,COMPRIME PELLICULE ,300MG/25MG,B/30,Liste I,HOP,OFF,,ALEMBIC MAMI SPA,ALGERIE,4/27/2016,4/27/2016,Gé,F,24 MOIS,,
1824,518/ 06 E 219 /17,06 E 219,Irbesartan / Hydrochlorothiazide,"IRBE PLUS 150/12,5",COMPRIME,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,TASSILI ARAB PHARMACEUTICAL COMPANY / SPA,ALGERIE,10/30/2017,10/30/2017,Gé,F,24MOIS,,
1825,544/ 06 E 220 /11/19,06 E 220,Irbesartan / Hydrochlorothiazide,IPISART PLUS,COMPRIME PELLICULE ,"300MG/12,5MG",B/30,Liste I,HOP,OFF,,WORLD MEDECINE LIMITED,ALGERIE,9/20/2011,4/15/2019,Gé,Fprémix,36MOIS,,
1826,5445/ 06 E 219 /11/19,06 E 219,Irbesartan / Hydrochlorothiazide,IPISART PLUS,COMPRIME PELLICULE ,"150MG/12,5MG",B/30,Liste I,HOP,OFF,,WORLD MEDECINE LIMITED,ALGERIE,9/20/2011,7/24/2019,Gé,Fprémix,36MOIS,,
1827,392/ 06 E 312 /15,06 E 312,IRBESARTAN/ AMLODIPINE (BESILATE),APROVASC ,COMP.PELLI SéCABLE,300MG/10MG,B/30,Liste I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,12/31/2015,12/31/2015,Ré,F,36MOIS,,
1828,352/06 E 311/17,06 E 311,IRBéSARTAN/BéSILATE D'AMLODIPINE ,EXIRB,COMPRIME PELLICULE ,300MG/5MG,B/30,Liste I,HOP,OFF,,EL KENDI ,ALGERIE,4/26/2017,4/26/2017,Gé,F,24 MOIS,,
1829,392 / 06 E 310 /15,06 E 310,IRBéSARTAN/BéSILATE D'AMLODIPINE ,APROVASC,COMPRIME PELLICULE ,150MG/5MG,B/30,Liste I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,12/13/2015,12/13/2015,Ré,F,36MOIS,,
1830,392 / 06 E 318/17,06 E 318,IRBéSARTAN/BéSILATE D'AMLODIPINE ,APROVASC,COMPRIME PELLICULE ,150MG/10MG,B/30,Liste I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,12/27/2017,12/27/2017,Ré,Fpremix ,36MOIS,,
1831,392/ 06 E 311 /15,06 E 311,IRBéSARTAN/BéSILATE D'AMLODIPINE ,APROVASC,COMPRIME PELLICULE ,300MG/5MG,B/30,Liste I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,12/13/2015,12/13/2015,Ré,F,36MOIS,,
1832,352 / 06 E 256 /12/17,06 E 256,IRBESARTRAN / HYDROCHLOROTHIAZIDE,CO APROSART,COMPRIME PELLICULE ,300MG / 25MG,B/30 ,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,12/23/2012,12/27/2017,Gé,F,36MOIS,,
1833,176/ 05 G 076 /14,05 G 076,IRINOTECAN CHLORHYDRATE TRIHYDRATE,TEKAMEN,SOL. P. PERF. IV,20MG/ML (40MG/2ML) (100MG/5ML),B/01FL. DE 2 ML ET B/01FL. DE 5ML,LISTE I,HOP,,,MUSTAFA NEVZAT ILAC SANAYII A.S (MN PHARMACEUTICALS),TURQUIE,10/13/2014,10/13/2014,Gé,I,,,
1834,182/ 05 G 076 /12,05 G 076,IRINOTECAN CHLORHYDRATE TRIHYDRATE,ERTICAN,SOL. INJ. P. PERF. IV,20MG/ML (40MG/2ML - 100MG/5ML),B/1FL. DE 2ML ET B/1FL. DE 5ML,Liste I,HOP,,,CIPLA LIMITED ,INDE,12/6/2012,12/6/2012,Gé,I,,,
1835,450/ 05 G 076 /14,05 G 076,IRINOTECAN CHLORHYDRATE TRIHYDRATE,IRINOTECAN MYLAN,SOL A DILUER P. PERF IV,20MG/ML (100MG/5ML) (40MG/2ML),B/01FL DE 5ML ET B/01FL DE 2ML,LISTE I,HOP,,,MYLAN SAS,FRANCE,9/23/2014,9/23/2014,Gé,I,,,
1836,298/ 02 B 007 /12,02 B 007,ISOFLURANE,AERRANE,LIQUIDE. P. INHAL. PAR VAPEUR,100ML/100ML - 250ML/250ML,CARTON DE 06 FL. DE 100ML ET CARTON DE 06 FL. DE 250ML,Liste I,HOP,,,BAXTER HEALTHCARE COPORATION ,ETATS UNIS D'AMERIQUE,8/26/2012,8/26/2012,Ré,I,60 MOIS,,
1837,498/ 02 B 007 /99/16,02 B 007,ISOFLURANE,FORENE,LIQUIDE. P. INHAL. PAR VAPEUR,100ML/100ML,B/01FL. DE 100 ML,Liste I,HOP,,,ABBVIE,France,5/4/1999,2/2/2016,Ré,I,60 MOIS,,
1838,186/ 07 L 058 /06/16,07 L 058,ISOTRETINOINE,CURACNE 10MG  ,CAPSULE MOLLE,10MG,B/30,Liste I,HOP,OFF,,PIERRE FABRE DERMATOLOGIE,FRANCE,7/31/2006,3/5/2017,Gé,I,36 MOIS,,
1839,186/ 07 L 144 /06/17,07 L 144,ISOTRETINOINE,CURACNE  5MG ,CAPSULE MOLLE,5MG,B/30,Liste I,HOP,OFF,,PIERRE FABRE DERMATOLOGIE,FRANCE,7/31/2006,3/5/2017,Gé,I,36 MOIS,,
1840,293/ 13 R 464 /12,13 R 464,ITRACONAZOLE,ITRAZON,GLES.,100MG,B/30,Liste I,HOP,OFF,,BIOCARE SARL,ALGERIE,3/7/2012,6/13/2016,Gé,Fprémix,36 MOIS,,
1841,352/ 13 R 464 /14,13 R 464,ITRACONAZOLE,ITRASPOR,GLES.,100MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,11/30/2014,11/30/2014,Gé,Fprémix,24 MOIS,,
1842,040/ 06 C 282 /09/16,06 C 282,IVABRADINE CHLORHYDRATE EXPRIME EN IVABRADINE,PROCORALAN,COMPRIME PELLICULE ,"7,5MG",B/56,Liste I,HOP,OFF,,SERVIER,FRANCE,7/19/2009,9/11/2016,Ré,I,36MOIS,,
1843,374/ 13 E 202 /99/15,13 E 202,JOSAMYCINE,JOSACINE,COMPRIME PELLICULE ,500MG,B/20,Liste I,HOP,OFF,,ASTELLAS PHARMA,FRANCE,3/2/1999,2/26/2015,Ré,I,60 MOIS,,
1844,374/ 13 E 188 /99/15,13 E 188,JOSAMYCINE PROPIONATE EXPRIME EN JOSAMYCINE,JOSACINE,GRLES.SUSP.BUV,125MG/5 ML,B/01 FL. DE 15G CORRESPONDANT A 60ML DE SUSP. RECONSTITUEE AVEC SERINGUE P. ADMINISTRATION ORALE,Liste I,HOP,OFF,,ASTELLAS PHARMA,FRANCE,1/12/1999,2/26/2015,Ré,I,60 MOIS,,
1845,374/ 13 E 189 /99/15,13 E 189,JOSAMYCINE PROPIONATE EXPRIME EN JOSAMYCINE,JOSACINE,GRLES.SUSP.BUV,250MG/5ML,B/01 FL. DE 15G CORRESPONDANT A 60ML DE SUSP. RECONSTITUEE AVEC SERINGUE P. ADMINISTRATION ORALE,Liste I,HOP,OFF,,ASTELLAS PHARMA,FRANCE,1/12/1999,2/26/2015,Ré,I,60 MOIS,,
1846,374/ 13 E 190 /99/15,13 E 190,JOSAMYCINE PROPIONATE EXPRIME EN JOSAMYCINE,JOSACINE,GRLES.SUSP.BUV,500MG /5ML,B/01 FL. DE 20G CORRESPONDANT A 60ML DE SUSP. RECONSTITUEE AVEC SERINGUE P. ADMINISTRATION ORALE,Liste I,HOP,OFF,,ASTELLAS PHARMA,FRANCE,3/8/1999,2/26/2015,Ré,I,60 MOIS,,
1847,352/ 02 B 009 /09/19,02 B 009,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,KETAMILE,SOL. INJ.,50MG/ML,B/01FL. DE 10ML,Liste I,HOP,,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,7/11/2009,8/14/2019,Gé,I,36MOIS,,
1848,079/ 07 D 028 /07/13,07 D 028 ,Ketoconazole,KETODEL,CREME DERM.,2%,T/15G,Liste I,HOP,OFF,,LABORATOIRE  ALGERIEN DE DEVELOPPEMENT  PHARMACEUTIQUE   (LAD PHARMA),ALGERIE,11/18/2007,9/30/2013,Gé,F,,,
1849,095/ 07 D 028 /98/14,07 D 028,Ketoconazole,KETODERM,CREME DERM.,2%,T/15G,Liste I,HOP,OFF,,JANSSEN CILAG,FRANCE,4/20/1998,10/28/2014,Ré,F,24 MOIS,,
1850,149/ 07 D 028 /13/18,07 D 028,Ketoconazole,KETOCREM,CREME DERM.,2%,T/15G,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,4/15/2013,4/30/2018,Gé,F,36MOIS,,
1851,149/ 07 D 029 /13,07 D 029,Ketoconazole,KETOCONAZOLE NOVAGENERICS,GEL MOUSSANT EN RECIPIENT UNIDOSE ,2%,T/20G,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,10/20/2013,10/20/2013,Gé,F,,,
1852,149/ 07 D 141 / 18,07 D 141 ,Ketoconazole,KETOCONAZOLE NOVAGENERICS,SHAMPOING,2%,FL./100ML,Liste I,HOP,OFF,,SARL NOVAPHARM TRADING,ALGERIE,1/16/2018,1/16/2018,Gé,F,24  MOIS,,
1853,173/ 07 D 141 /07/17,07 D 141 ,Ketoconazole,VAVO SHAMPOO,SHAMPOING,2%,FL./100ML,Liste I,HOP,OFF,,TABUK PHARMACEUTICAL MANUFACTURING COMPANY,ARABIE SAOUDITE,2/4/2007,1/7/2018,Gé,I,36 MOIS,,
1854,352/ 07 D 028 /11/18,07 D 028,Ketoconazole,VAVO,CREME DERM.,2%,T/15G,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,12/13/2011,4/8/2018,Gé,F,36 MOIS,,
1855,406/ 07 D 141 /13,07 D 141,Ketoconazole,DANDREX,SHAMPOING,2%,FL/100ML,Liste I,HOP,OFF,,BEIT JALA PHARMACEUTICAL COMPANY,PALESTINE,6/4/2013,6/4/2013,Gé,I,,,
1856,010/ 04 B 057/97/14,04 B 057,KETOPROFENE,FLEXEN,PDRE. ET SOLV. P. SOL. INJ.,100MG/FL. DE PDRE.,"B/06FL. DE PDRE + 06AMP. DE 2,5ML DE SOLV. (EPPI)",Liste II,HOP,OFF,,LIFEPHARMASPA- ITALFARMACO GROUPE,ITALIE,11/9/1997,5/12/2014,Gé,I,36 MOIS,,
1857,188/ 04 B 018 /99/16,04 B 018,KETOPROFENE,KETONAL,SOL.INJ.IM,50MG/ML (100MG/2ML),B/10,Liste II,HOP,OFF,,LEK,SLOVENIE,3/16/1999,1/29/2017,Gé,I,,,
1858,203/ 21 A 032 /05/14,21 A 032,KETOPROFENE,KETUM,GEL DERM.,2.5%,T/60G,Liste II,HOP,OFF,,MENARINI FRANCE,FRANCE,12/11/2005,2/27/2014,Ré,F,36 MOIS,,
1859,309/ 21 A 032 /16,21 A 032,KETOPROFENE,KETOPROFENE LDM,GEL DERM.,2.5%,T/60G,Liste II,HOP,OFF,,LABORATOIRES  DE DIAGNOSTIC MAGHREBINS (LDM),France,4/11/2016,4/11/2016,Gé,F,24MOIS ,,
1860,311/ 21 A 032 /15,21 A 032 ,KETOPROFENE,K-PROFEN,GEL DERM.,2.5%,T/50G,Liste II,HOP,OFF,,LGPA ,ALGERIE,12/27/2015,12/27/2015,Gé,F,24 MOIS,,
1861,319/ 21 A 032 /08,21 A 032,KETOPROFENE,GEPROFEN,GEL DERM.,2.5%,T/60G,Liste II,HOP,OFF,,ARAB PHARM,ALGERIE,12/23/2008,12/23/2008,Gé,F,,,
1862,366/ 21 A 032 /08,21 A 032,KETOPROFENE,KETOFEN,GEL DERM.,2.5%,T./40G,Liste II,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,4/27/2008,4/27/2008,Gé,F,,,
1863,376/ 04 B 018 /96/16,04 B 018,KETOPROFENE,PROFENID,SOL.INJ.IM,50MG/ML (100MG/2ML),B/06 AMP. DE 2ML ,Liste II,HOP,OFF,,SANOFI AVENTIS FRANCE,FRANCE,10/28/1996,1/29/2017,Ré,I,36 MOIS,,
1864,549/ 04 B 034 /19,04 B 034,KETOPROFENE,EVOFENID,COMPRIME PELLICULE ,100MG,B/30,,HOP,OFF,,SARL / EVOLAB,ALGERIE,4/24/2019,4/24/2019,Gé,F,24 MOIS,,
1865,433/ 04 B 018 /15,04 B 018,KETOPROFENE,KETONEED,SOL.INJ.IM,50MG/ML (100MG/2ML),B/05 AMP. DE 2ML ET B/50 AMP. DE 2ML,Liste II,HOP,OFF,B/50 RESERVEE AUX HOPITAUX,FRATER RAZES SPA,ALGERIE,6/18/2015,6/18/2015,Gé,F,24 MOIS,,
1866,527/04 B 049/17,04 B 049,KETOPROFENE,HARUFEN,PATCH,30MG,B/7,,HOP,OFF,,SINIL PHARMACEUTICAL CO LTD,KOREA,7/19/2017,7/19/2017,Gé,I,36 MOIS,,
1867,392/ 04 B 032 /99/12,04 B 032,KETOPROFENE ,PROFENID LP,COMP. ENRO. LP,200MG ,B/14,Liste II,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA ,ALGERIE,6/1/1999,3/20/2012,Ré,Fprémix,24 MOIS,,
1868,077/ 20 A 013 /98,20 A 013,KETOTIFENE,TOTILAM,SIROP,1MG/5ML,FL/125 ML,Liste II,HOP,OFF,,LABORATOIRE ALGERIEN DU MEDICAMENT  (LAM),ALGERIE,7/7/1998,7/7/1998,Gé,F,,,
1869,022/ 17 B 171 /13,17 B 171,KETOTIFENE HYDROGENOFUMARATE EXPRIME EN KETOTIFENE,ZALERG,COLLYRE EN SOLUTION (SANS CONSERVATEUR),"0,25MG/ML",B/1FL. DE 5ML,Liste II,HOP,OFF,,THEA,FRANCE,10/20/2013,10/20/2013,Ré,I,,,
1870,068/ 20 A 013 /97/12,20 A 013,KETOTIFENE** (SOUS FORME DE FUMARATE),ZADITEN,SIROP SANS ALCOOL,1MG/5ML,B/1FL. DE 150ML + UNE CUILLERE. MESURE DE 5ML,Liste II,HOP,OFF,,NOVARTIS PHARMA S.A. SCHWEIZ AG,SUISSE,6/2/1997,10/15/2012,Ré,F,,,
1871,073/ 20 A 013 /97/18,20 A 013,KETOTIFENE** (SOUS FORME DE FUMARATE),HASSALYSE,SOL. BUV.,1MG/5ML,FL/100ML,Liste II,HOP,OFF,,ISOPHARM-ALGERIE,ALGERIE,12/11/1997,1/28/2018,Gé,F,36 MOIS,,
1872,242/ 20 A 013 /09,20 A 013,KETOTIFENE** (SOUS FORME DE FUMARATE),KETOF,SOL. BUV.,1MG/5ML,FL./100ML,Liste II,HOP,OFF,,GROUPE SANTE,ALGERIE,1/27/2009,1/27/2009,Gé,F,,,
